"Market","Station","Channel.RF.","Year","Power.kW","Location","Latitude","Longitude","Year.Start","Year.End"
"Fort Pierce & West Palm Beach, FL","WPEC","12 (13)","2012",90,"26.588333; -80.208333",26.588333,-80.208333,2012,NA
"Fort Pierce & West Palm Beach, FL","WTVX","34 (34)","2012",1000,"27.121944; -80.388889",27.121944,-80.388889,2012,NA
"Fort Pierce & West Palm Beach, FL","WTCN-CA","43 (34.3)","2012",150,"27.025278; -80.178611",27.025278,-80.178611,2012,NA
"Fort Pierce & West Palm Beach, FL","WWHB-CA","48 (34.2)","2012",NA,"27.025222; -80.178528",27.025222,-80.178528,2012,NA
"Gainesville & High Springs, FL","WGFL","28 (28)","2014",168,"29.629917; -82.57333",29.629917,-82.57333,2014,NA
"Gainesville & High Springs, FL","WNBW-DT","9 (9)","2014",4.9,"29.629917; -82.57333",29.629917,-82.57333,2014,NA
"Gainesville & High Springs, FL","WMYG-LP","11 (28.2)","2014",168,"30.21389; -82.65000",30.21389,-82.65,2014,NA
"Gainesville & High Springs, FL","WYME-CD","45 (45)","2014",15,"29.535833; -82.321528",29.535833,-82.321528,2014,NA
"Tallahassee, FL & Thomasville, GA","WTWC-TV","40 (40)","1998",1000,"30.68083; -83.97250",30.68083,-83.9725,1998,NA
"Tallahassee, FL & Thomasville, GA","WTLH","49 (50)","2014",665,"30.68083; -83.97250",30.68083,-83.9725,2014,NA
"Tallahassee, FL & Thomasville, GA","WTLF","24 (24)","2014",24,"30.494833; -84.41667",30.494833,-84.41667,2014,NA
"Albany, GA","WFXL","31 (12)","2013",60,"31.33139; -83.86194",31.33139,-83.86194,2013,NA
"Macon, GA","WGXA","24 (16)","2014",1000,"32.749556; -83.559583",32.749556,-83.559583,2014,NA
"Cedar Rapids - Waterloo - Dubuque - Iowa City, IA","KGAN","2 (29)","1998",850,"42.316222; -91.858639",42.316222,-91.858639,1998,NA
"Cedar Rapids - Waterloo - Dubuque - Iowa City, IA","KFXA","28 (27)",NA,1000,"42.090167; -92.087278",42.090167,-92.087278,NA,NA
"Des Moines, IA","KDSM-TV","17 (16)","1997",500,"41.830139; -93.615167",41.830139,-93.615167,1997,NA
"Sioux City, IA","KPTH","44 (49)","2013",1000,"42.586611; -96.222139",42.586611,-96.222139,2013,NA
"Sioux City, IA","KMEG","14 (39)",NA,1000,"42.586611; -96.222139",42.586611,-96.222139,NA,NA
"Boise, ID","KBOI-TV","2 (9)","2013",360,"43.755778; -116.09917",43.755778,-116.09917,2013,NA
"Boise, ID","KYUU-LD","35 (28)","2013",8.8,"43.754722; -116.098056",43.754722,-116.098056,2013,NA
"Lewiston, ID","KLEW-TV","3 (32)","2013",200,"46.457250; -117.100111",46.45725,-117.100111,2013,NA
"Champaign - Urbana - Decatur - Springfield, IL","WICS","20 (42)","1998",950,"39.80417; -89.46111",39.80417,-89.46111,1998,NA
"Champaign - Urbana - Decatur - Springfield, IL","WICD","15 (41)","1998",950,"40.06972; -87.91250",40.06972,-87.9125,1998,NA
"Champaign - Urbana - Decatur - Springfield, IL","WRSP-TV","55 (44)",NA,335,"39.79917; -89.44611",39.79917,-89.44611,NA,NA
"Champaign - Urbana - Decatur - Springfield, IL","WCCU","27 (26)",NA,NA,"",NA,NA,NA,NA
"Champaign - Urbana - Decatur - Springfield, IL","WBUI","22 (23)",NA,325,"39.948944; -88.83694",39.948944,-88.83694,NA,NA
"Peoria & Bloomington, IL","WHOI","19 (19)","2013",195,"40.653083; -89.587333",40.653083,-89.587333,2013,NA
"Peoria & Bloomington, IL","WYZZ-TV","43 (28)","1996",1000,"40.644583; -89.179417",40.644583,-89.179417,1996,NA
"South Bend, IN","WSBT-TV","22 (22)","2016",266,"41.61667; -86.21694",41.61667,-86.21694,2016,NA
"Wichita, KS","KSAS-TV","24 (26)","2012",350,"37.77778; -97.51028",37.77778,-97.51028,2012,NA
"Wichita, KS","KAAS-TV","17 (17)","2012",NA,"",NA,NA,2012,NA
"Wichita, KS","KOCW","17 (14)","2012",NA,"",NA,NA,2012,NA
"Wichita, KS","KMTW","36 (35)",NA,1000,"37.939389; -97.511861",37.939389,-97.511861,NA,NA
"Danville - Lexington, KY","WDKY-TV","56 (31)","2001",1000,"37.88083; -84.32111",37.88083,-84.32111,2001,NA
"Portland, ME","WGME-TV","13 (38)","1998",1000,"43.924583; -70.490750",43.924583,-70.49075,1998,NA
"Portland, ME","WPFO","23 (23)",NA,390,"44.154250; -70.009778",44.15425,-70.009778,NA,NA
"Baltimore, MD","WBFF","45 (46)","1971",655,"39.336250; -76.649472",39.33625,-76.649472,1971,NA
"Baltimore, MD","WNUV","54 (40)","1994",845,"39.336250; -76.649472",39.33625,-76.649472,1994,NA
"Baltimore, MD","WUTB","24 (41)","2013",290,"39.28750; -76.76056",39.2875,-76.76056,2013,NA
"Flint - Saginaw - Bay City, MI","WEYI-TV","25 (30)","2013",193,"43.21694; -83.72139",43.21694,-83.72139,2013,NA
"Flint - Saginaw - Bay City, MI","WBSF","46 (46)","2013",70,"43.474111; -83.845806",43.474111,-83.845806,2013,NA
"Flint - Saginaw - Bay City, MI","WSMH","66 (16)","1996",245,"43.22528; -84.07583",43.22528,-84.07583,1996,NA
"Kalamazoo & Grand Rapids, MI","WWMT","3 (8)","2012",25,"42.63222; -85.53778",42.63222,-85.53778,2012,NA
"Traverse City - Cadillac, MI Cheboygan - Sault Ste. Marie, MI","WPBN-TV","7 (47)","2013",500,"44.748056; -85.068889",44.748056,-85.068889,2013,NA
"Traverse City - Cadillac, MI Cheboygan - Sault Ste. Marie, MI","WTOM-TV","4 (35)","2013",NA,"",NA,NA,2013,NA
"Traverse City - Cadillac, MI Cheboygan - Sault Ste. Marie, MI","WGTU","29 (29)","2013",68.4,"44.748139; -85.069056",44.748139,-85.069056,2013,NA
"Traverse City - Cadillac, MI Cheboygan - Sault Ste. Marie, MI","WGTQ","8 (8)","2013",NA,"",NA,NA,2013,NA
"Minneapolis & St. Paul, MN","WUCW","23 (22)","1998",1000,"45.06222; -93.13917",45.06222,-93.13917,1998,NA
"Cape Girardeau, MO - Paducah, KY - Harrisburg, IL","KBSI","23 (22)","1998",705,"37.406250; -89.562306",37.40625,-89.562306,1998,NA
"Cape Girardeau, MO - Paducah, KY - Harrisburg, IL","WDKA","49 (49)",NA,1000,"37.395167; -88.939806",37.395167,-88.939806,NA,NA
"Columbia - Jefferson City, MO","KRCG","13 (12)","2013",15.1,"38.691639; -92.09556",38.691639,-92.09556,2013,NA
"Hannibal, MO - Quincy, IL","KHQA-TV","7 (7)","2013",13.6,"39.973722; -91.330583",39.973722,-91.330583,2013,NA
"Kirksville, MO - Ottumwa, IA","KTVO","3 (33)","2013",87,"40.52972; -92.44139",40.52972,-92.44139,2013,NA
"St. Louis, MO","KDNL-TV","30 (31)","1997",1000,"38.58056; -90.329222",38.58056,-90.329222,1997,NA
"Missoula, MT","KECI-TV","13 (13)","2017",30,"47.017250; -114.014056",47.01725,-114.014056,2017,NA
"Kalispell, MT","KCFW-TV","9 (9)","2017",2.5,"48.01333; -114.36639",48.01333,-114.36639,2017,NA
"Butte, MT","KTVM-TV","6 (6)","2017",11.2,"46.00750; -112.44250",46.0075,-112.4425,2017,NA
"Bozeman, MT","KDBZ-CD","42 (42)","2017",15,"45.67333; -110.86722",45.67333,-110.86722,2017,NA
"Hayes Center, NE","KWNB-TV","6 (6)","2016",NA,"",NA,NA,2016,NA
"Kearney - Hastings, NE","KHGI-TV","13 (13)","2016",11.9,"40.65778; -98.86778",40.65778,-98.86778,2016,NA
"Lincoln, NE","KFXL-TV","51 (51)","2016",14,"40.85278; -96.67667",40.85278,-96.67667,2016,NA
"North Platte, NE","KHGI-CD","13 (13)","2016",NA,"",NA,NA,2016,NA
"Omaha, NE","KPTM","42 (43)","2013",700,"41.07056; -96.22583",41.07056,-96.22583,2013,NA
"Omaha, NE","KXVO","15 (39)",NA,490,"41.07111; -96.22528",41.07111,-96.22528,NA,NA
"Elko, NV","KENV-DT","10 (10)",NA,1.5,"40.699667; -115.9030278",40.699667,-115.9030278,NA,NA
"Las Vegas, NV","KSNV","3 (22)","1997",630,"36.00778; -115.00667",36.00778,-115.00667,1997,NA
"Las Vegas, NV","KVCW","33 (29)","2000",1000,"36.00778; -115.00667",36.00778,-115.00667,2000,NA
"Reno, NV","KRNV-DT","4 (7)",NA,16.1,"39.315833; -119.883889",39.315833,-119.883889,NA,NA
"Reno, NV","KRXI-TV","11 (44)","2013",1000,"39.58972; -119.92694",39.58972,-119.92694,2013,NA
"Reno, NV","KAME-TV","21 (20)","2013",1000,"39.58417; -119.79750",39.58417,-119.7975,2013,NA
"Buffalo, NY","WUTV","29 (14)","1996",1000,"43.026361; -78.927667",43.026361,-78.927667,1996,NA
"Buffalo, NY","WNYO-TV","49 (49)","2001",198,"42.781556; -78.457194",42.781556,-78.457194,2001,NA
"Rochester, NY","WHAM-TV","13 (13)","2013",10.5,"43.13528; -77.58417",43.13528,-77.58417,2013,NA
"Rochester, NY","WUHF","31 (28)","1995",320,"43.13472; -77.58528",43.13472,-77.58528,1995,NA
"Schenectady - Albany - Troy, NY","WRGB","6 (6)","2012",30.2,"42.62528; -74.01056",42.62528,-74.01056,2012,NA
"Schenectady - Albany - Troy, NY","WCWN","45 (43)","2012",600,"42.625361; -74.010083",42.625361,-74.010083,2012,NA
"Syracuse, NY","WSTM-TV","3 (24)","2013",210,"42.945250; -76.118306",42.94525,-76.118306,2013,NA
"Syracuse, NY","WTVH","5 (47)",NA,500,"42.955361; -76.109250",42.955361,-76.10925,NA,NA
"Syracuse, NY","WSTQ-LP","14 (3.2)","2013",9.8,"43.05833; -76.16667",43.05833,-76.16667,2013,NA
"Asheville, NC Greenville & Spartanburg, SC","WLOS","13 (13)","1997",50,"35.42556; -82.75694",35.42556,-82.75694,1997,NA
"Asheville, NC Greenville & Spartanburg, SC","WMYA-TV","40 (14)","1997",360,"34.647583; -82.270139",34.647583,-82.270139,1997,NA
"Greenville - New Bern - Morehead City, NC","WFXI","8 (8)","2017",22.4,"34.883611; -76.506111",34.883611,-76.506111,2017,NA
"Greenville - New Bern - Morehead City, NC","WYDO","14 (47)","2017",NA,"",NA,NA,2017,NA
"Greenville - New Bern - Morehead City, NC","WCTI-TV","12 (12)","2017",32.8,"35.10417; -77.33667",35.10417,-77.33667,2017,NA
"Raleigh - Durham, NC","WLFL","22 (27)","1994",725,"35.67444; -78.52778",35.67444,-78.52778,1994,NA
"Raleigh - Durham, NC","WRDC","28 (28)","1995",725,"35.67639; -78.53556",35.67639,-78.53556,1995,NA
"Winston-Salem - Greensboro - High Point, NC","WXLV-TV","45 (29)","1996",990,"35.86750; -79.82389",35.8675,-79.82389,1996,NA
"Winston-Salem - Greensboro - High Point, NC","WMYV","48 (33)","2001",700,"35.86750; -79.82389",35.8675,-79.82389,2001,NA
"Cincinnati, OH","WKRC-TV","12 (12)","2012",15.55,"39.11639; -84.50194",39.11639,-84.50194,2012,NA
"Cincinnati, OH","WSTR-TV","64 (33)","1995",360,"39.20000; -84.522639",39.2,-84.522639,1995,NA
"Columbus & Chillicothe, OH","WSYX","6 (48)","1997",1000,"39.93722; -83.02111",39.93722,-83.02111,1997,NA
"Columbus & Chillicothe, OH","WTTE","28 (36)","1984",1000,"39.93722; -83.02111",39.93722,-83.02111,1984,NA
"Columbus & Chillicothe, OH","WWHO","53 (46)","2011",1000,"39.58889; -83.11222",39.58889,-83.11222,2011,NA
"Dayton, OH","WKEF","22 (51)","1998",515,"39.72444; -84.25500",39.72444,-84.255,1998,NA
"Dayton, OH","WRGT-TV","45 (30)","2001",425,"39.724500; -84.25472",39.7245,-84.25472,2001,NA
"Steubenville, OH & Wheeling, WV","WTOV-TV","9 (9)","2013",23,"40.34250; -80.62056",40.3425,-80.62056,2013,NA
"Toledo, OH","WNWO-TV","24 (49)","2013",118,"41.66750; -83.35611",41.6675,-83.35611,2013,NA
"Oklahoma City, OK","KOKH-TV","25 (24)","2003",1000,"35.549333; -97.488556",35.549333,-97.488556,2003,NA
"Oklahoma City, OK","KOCB","34 (33)","1996",1000,"35.549333; -97.488556",35.549333,-97.488556,1996,NA
"Tulsa, OK","KTUL","8 (10)","2014",15,"35.96889; -95.61528",35.96889,-95.61528,2014,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KVAL-TV","13 (25)","2013",30.6,"44.00250; -123.116250",44.0025,-123.11625,2013,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KCBY-TV","11 (21)","2013",NA,"",NA,NA,2013,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KPIC","4 (19)","2013",NA,"",NA,NA,2013,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KMTR","16 (17)",NA,70,"44.11583; -122.99917",44.11583,-122.99917,NA,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KMCB","23 (22)",NA,NA,"",NA,NA,NA,NA
"Eugene, OR Coos Bay, OR Roseburg, OR","KTCW","46 (45)",NA,NA,"",NA,NA,NA,NA
"Medford, OR","KTVL","10 (10)","2012",NA,"42.080944; -122.720306",42.080944,-122.720306,2012,NA
"Portland, OR","KATU","2 (43)","2013",1000,"45.51583; -122.73417",45.51583,-122.73417,2013,NA
"Portland, OR","KUNP","16 (16)","2013",50,"45.30972; -117.73250",45.30972,-117.7325,2013,NA
"Harrisburg - Lancaster - Lebanon - York, PA","WHP-TV","21 (21)","2012",750,"40.345222; -76.869306",40.345222,-76.869306,2012,NA
"Johnstown & Altoona, PA","WJAC-TV","6 (34)","2013",1000,"40.371361; -78.981972",40.371361,-78.981972,2013,NA
"Pittsburgh, PA","WPGH-TV","53 (43)","1991",1000,"40.495139; -80.004500",40.495139,-80.0045,1991,NA
"Pittsburgh, PA","WPNT","22 (42)","2000",1000,"40.495139; -80.004500",40.495139,-80.0045,2000,NA
"Scranton - Wilkes-Barre, PA","WOLF-TV","56 (45)","2014",420,"41.182833; -75.869861",41.182833,-75.869861,2014,NA
"Scranton - Wilkes-Barre, PA","WQMY","53 (29)","2014",50,"41.20028; -77.12028",41.20028,-77.12028,2014,NA
"Scranton - Wilkes-Barre, PA","WSWB","38 (31)","2014",100,"41.43583; -75.728389",41.43583,-75.728389,2014,NA
"Providence, RI & New Bedford, MA","WJAR","10 (51)","2014",1000,"41.865389; -71.286861",41.865389,-71.286861,2014,NA
"Charleston, SC","WTAT-TV","24 (24)","1995",1000,"32.940194; -79.695417",32.940194,-79.695417,1995,NA
"Charleston, SC","WCIV","36 (36)","1998",1000,"32.94000; -79.69583",32.94,-79.69583,1998,NA
"Columbia, SC","WACH","57 (48)","2013",520,"34.11611; -80.76417",34.11611,-80.76417,2013,NA
"Florence & Myrtle Beach, SC","WPDE-TV","15 (16)","2013",421,"34.36472; -79.33028",34.36472,-79.33028,2013,NA
"Florence & Myrtle Beach, SC","WWMB","21 (21)","2013",400,"34.36722; -79.33028",34.36722,-79.33028,2013,NA
"Hardeeville, SC & Savannah, GA","WTGS","28 (28)","2014",1000,"32.046167; -81.340611",32.046167,-81.340611,2014,NA
"Chattanooga, TN","WTVC","9 (9)","2012",45,"35.160556; -85.318333",35.160556,-85.318333,2012,NA
"Chattanooga, TN","WDSI-TV","61 (40)","2015",84,"35.21000; -85.278417",35.21,-85.278417,2015,NA
"Chattanooga, TN","WFLI-TV","53 (42)","2015",500,"35.20944; -85.27750",35.20944,-85.2775,2015,NA
"Nashville, TN","WZTV","17 (15)","1994",1000,"36.263853000; -86.794180000",36.263853,-86.79418,1994,NA
"Nashville, TN","WUXP","30 (21)","2000",1000,"36.26389; -86.79417",36.26389,-86.79417,2000,NA
"Nashville, TN","WNAB","58 (23)",NA,350,"36.26389; -86.79417",36.26389,-86.79417,NA,NA
"Abilene, TX","KTXS-TV","12 (12)","2017",530,"32.413750; -100.106917",32.41375,-100.106917,2017,NA
"Abilene, TX","KTES-LD","40 (40)","2017",52.7,"",NA,NA,2017,NA
"Amarillo, TX Clovis, NM","KVII-TV","7 (7)","2013",21.9,"35.37500; -101.88222",35.375,-101.88222,2013,NA
"Amarillo, TX Clovis, NM","KVIH-TV","12 (12)","2013",NA,"",NA,NA,2013,NA
"Austin, TX","KEYE-TV","42 (43)","2012",1000,"30.322028; -97.803500",30.322028,-97.8035,2012,NA
