"DMA Code","Rank","Designated Market Area (DMA)","TV Homes","% of US"
"881","73","Spokane","422,550","0.368"
"619","75","Springfield, MO","409,020","0.357"
"543","114","Springfield-Holyoke","249,430","0.217"
"638","201","St. Joseph","44,460","0.039"
"609","21","St. Louis","1,215,570","1.060"
"555","85","Syracuse","368,950","0.322"
"530","107","Tallahassee-Thomasville","268,390","0.234"
"539","11","Tampa-St. Pete (Sarasota)","1,908,590","1.664"
"581","155","Terre Haute","133,780","0.117"
"547","78","Toledo","400,170","0.349"
"605","135","Topeka","172,470","0.150"
"540","119","Traverse City-Cadillac","235,400","0.205"
"531","98","Tri-Cities, TN-VA","306,770","0.267"
"789","71","Tucson (Sierra Vista)","425,860","0.371"
"671","58","Tulsa","531,230","0.463"
"760","191","Twin Falls","64,190","0.056"
"709","108","Tyler-Longview(Lfkn&Ncgd)","265,690","0.232"
"526","171","Utica","99,190","0.086"
"626","203","Victoria","32,930","0.029"
"625","87","Waco-Temple-Bryan","357,720","0.312"
"511","7","Washington, DC (Hagrstwn)","2,476,680","2.159"
"549","178","Watertown","88,070","0.077"
"705","134","Wausau-Rhinelander","174,760","0.152"
"548","38","West Palm Beach-Ft. Pierce","824,920","0.719"
"554","158","Wheeling-Steubenville","128,720","0.112"
"627","148","Wichita Falls & Lawton","152,950","0.133"
"678","66","Wichita-Hutchinson Plus","439,760","0.383"
"577","56","Wilkes Barre-Scranton-Hztn","554,660","0.484"
"550","130","Wilmington","197,700","0.172"
"810","122","Yakima-Pasco-Rchlnd-Knnwck","230,950","0.201"
"536","115","Youngstown","249,230","0.217"
"771","167","Yuma-El Centro","109,930","0.096"
"596","204","Zanesville","32,450","0.028"
